项目名称,负责人工号,承担单位,开始时间,立项年度,项目结束时间,项目子类,甲方单位,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
知识统一表达方法B,7172726,信息与通信工程学院,2018-12-31,2018,2020-05-31,技术开发,北京邮电大学,50,50,50,财务通过，立项完成,直接立项,进行中
抗辐照Rapid I/O关键IP技术研究（兼容TLK2711）,5225106,电子科学与工程学院（示范性微电子学院）,2018-12-31,2018,2019-12-31,技术开发,中国电子科技集团公司第五十四研究所,80,32,32,财务通过，立项完成,直接立项,进行中
宽带自适应波束形成与跟踪技术,7172797,信息与通信工程学院,2018-12-31,2018,2021-12-31,技术开发,中国电子科技集团公司第五十四研究所,20,8,8,财务通过，立项完成,直接立项,进行中
改性C/C材料超声波反射法检测信号分析处理技术研究,5223087,电子科学与工程学院（示范性微电子学院）,2018-12-31,2018,2020-03-31,技术开发,航天材料及工艺研究所,50,50,50,财务通过，立项完成,直接立项,进行中
光纤液位测量系统,5230947,信息与通信工程学院,2018-12-30,2018,2019-08-31,技术开发,四川泛华航空仪表电器有限公司,86,43,41.747573,财务通过，立项完成,直接立项,进行中
面向无人机管控的干扰技术研究,5224930,电子科学与工程学院（示范性微电子学院）,2018-12-29,2018,2019-12-31,技术开发,中国电子科技集团公司第十研究所,60,60,60,财务通过，立项完成,直接立项,进行中
目标识别算法软件库,7100698,信息与通信工程学院,2018-12-29,2018,2020-12-31,技术开发,北京无线电测量研究所,44,41.8,41.8,财务通过，立项完成,直接立项,进行中
电子科技大学——江苏联成开拓汽车电子系统检测技术联合实验室启动费,5224448,光电科学与工程学院,2018-12-27,2018,2021-12-31,校企联合科研平台,江苏联成开拓高新技术有限公司,50,50,48.543689,财务通过，立项完成,直接立项,进行中
机载客舱娱乐系统技术研究,5222879,计算机科学与工程学院（网络空间安全学院）,2018-12-26,2018,2019-09-26,技术开发,中电科航空电子有限公司,67.03,67.03,65.07767,财务通过，立项完成,直接立项,进行中
汽车电子芯片制程分析与成本核算,7140636,信息与软件工程学院（示范性软件学院）,2018-12-26,2018,2019-09-25,技术开发,北京卡达克数据有限公司,30,0,0,学校通过,直接立项,进行中
管道腐蚀监测相关技术开发合同,7060737,光电科学与工程学院,2018-12-24,2018,2020-12-31,技术开发,成都陆迪科技股份有限公司,30,30,29.126214,财务通过，立项完成,直接立项,进行中
