项目名称,项目编号,负责人工号,承担单位,联合承担单位,立项时间,立项年度,计划完成日期,项目分类,项目子类,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
天空地频率轨道资源高效利用关键技术,33MH180111B,5223878 ,通信抗干扰技术国家级重点实验室,,2018-12-31,2018,2021-12-31,类别7,子类4,135,95,95,财务通过，立项完成,直接立项,进行中
三维仿真技术,2018YFB1201802-1,7120716 ,电子科学与工程学院（示范性微电子学院）,,2018-12-31,2018,2023-12-31,国家重点研发计划,参与课题,189,189,189,财务通过，立项完成,直接立项,进行中
高温超导XXX研究,2118Y37071A,7160698 ,光电科学与工程学院,,2018-12-31,2018,2021-12-31,类别2,子类1,840,756,756,财务通过，立项完成,直接立项,进行中
基于大数据的重点疾病防控应用分析,HX-H1812226,5225211 ,计算机科学与工程学院（网络空间安全学院）,,2018-12-31,2018,2019-12-31,四川省科技计划项目,其他,34.8,34.8,34.8,财务通过，立项完成,直接立项,进行中
太赫兹InP HBT *** MMIC,1213180306B,7060610 ,电子科学与工程学院（示范性微电子学院）,,2018-12-30,2018,2020-12-30,类别1,子类2,50,30,30,财务通过，立项完成,直接立项,进行中
XXX多中心大数据可信服务关键技术,2118H15451A,7110755 ,计算机科学与工程学院（网络空间安全学院）,,2018-12-30,2018,2019-12-30,类别2,子类1,100,80,80,财务通过，立项完成,直接立项,进行中
柔性外骨骼辅助技术及其应用研究,2118H83001A,7070594 ,航空航天学院,,2018-12-28,2018,2019-05-28,类别2,子类1,100,60,60,财务通过，立项完成,直接立项,进行中
日本唯美派文学与中国关系研究,SC18WY015,5230692 ,外国语学院,,2018-12-28,2018,2019-12-01,四川省哲学社会科学规划项目,一般项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
面向智慧医疗的绿色物联网信息传输与接入理论与技术研究,U1801261,7140601 ,智能通信与网络研究中心,"华南理工大学,中国科学院深圳先进技术研究院",2018-12-27,2018,2022-12-31,国家自然科学基金,重点项目,276,203.09,190,财务通过，立项完成,直接立项,进行中
上下文相关的自适应目标检测,2018-YF05-01138-GX,7090609 ,信息与软件工程学院（示范性软件学院）,,2018-12-26,2018,2019-08-31,成都市科技项目,科技惠民计划项目,10,10,10,财务通过，立项完成,直接立项,进行中
以批判性思维和辩论为主要内容的中外教协同教学模式研究,SC18WY014,7090747 ,外国语学院,,2018-12-26,2018,2019-12-31,四川省哲学社会科学规划项目,一般项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
基于机器学习技术的网络舆情监测与网络舆论引导研究,SC18EZD009,7130692 ,数字文化与传媒研究中心,,2018-12-26,2018,2019-12-24,四川省哲学社会科学规划项目,其他项目,5,4.8,4.8,财务通过，立项完成,直接立项,进行中
人工智能背景下计算机辅助翻译实验教学模式研究（论文）,SC18WY013,8130619 ,外国语学院,,2018-12-26,2018,2019-12-31,四川省哲学社会科学规划项目,一般项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
信息化技术下的四川教育公共服务均衡发展研究,SC18EZD010,7150646 ,公共管理学院,,2018-12-26,2018,2019-12-31,四川省哲学社会科学规划项目,重点项目,5,4.8,4.8,财务通过，立项完成,直接立项,进行中
LTCC微通孔沉积Cu机理与孔金属致密化研究,61841401,8130609 ,材料与能源学院,,2018-12-26,2018,2019-12-31,国家自然科学基金,其他项目,16,16,16,财务通过，立项完成,直接立项,进行中
眼科学的基础研究现在和未来,81842021,4160694 ,医学院,,2018-12-26,2018,2019-12-31,国家自然科学基金,其他项目,10,10,10,财务通过，立项完成,直接立项,进行中
XXXX分析与预测技术,2018YFB0804504,7150714 ,计算机科学与工程学院（网络空间安全学院）,"北京交通大学,北京知道未来信息技术有限公司",2018-12-25,2018,2021-12-25,国家重点研发计划,课题,379,337.31,337.31,财务通过，立项完成,直接立项,进行中
XXX传感器研究,2118Y24541A,7190693 ,电子科学与工程学院（示范性微电子学院）,,2018-12-25,2018,2020-12-31,类别2,子类1,200,180,180,财务通过，立项完成,直接立项,进行中
5G毫米波宽带高效率芯片及相控阵系统研究,2018B010115001,5224812 ,通信抗干扰技术国家级重点实验室,,2018-12-25,2018,2021-12-31,省外产学研项目,省部级项目,250,200,200,财务通过，立项完成,直接立项,进行中
面向柔性薄膜器件的二维材料电磁特性研究,2019YFSY0007,7110827 ,电子科学与工程学院（示范性微电子学院）,香港城市大学,2018-12-24,2018,2021-12-31,四川省科技计划项目,省院省校科技合作研发项目,20,20,20,财务通过，立项完成,直接立项,进行中
XXX研究,2118H28092A,5223531 ,电子科学与工程学院（示范性微电子学院）,,2018-12-24,2018,2020-12-31,类别2,子类1,270,180,180,财务通过，立项完成,直接立项,进行中
***系列化材料,71PT2099,5223365 ,电子科学与工程学院（示范性微电子学院）,,2018-12-20,2018,2022-12-20,类别7,子类1,295,148,148,财务通过，立项完成,直接立项,进行中
****关键技术及系统,2018YFB0804100,7160630 ,网络空间安全研究中心,"清华大学,四川大学,西安电子科技大学",2018-12-20,2018,2022-12-19,国家重点研发计划,课题,435,391.547,391.547,财务通过，立项完成,直接立项,进行中
***集成器件模型研究,2118Y13412A,7120722 ,电子科学与工程学院（示范性微电子学院）,,2018-12-20,2018,2020-12-31,类别2,子类1,120,108,108,财务通过，立项完成,直接立项,进行中
智能结构传感薄膜制备工艺,2219C024B,5230684 ,电子科学与工程学院（示范性微电子学院）,,2018-12-20,2018,2021-12-31,类别2,子类2 （课题）,30,25,25,财务通过，立项完成,直接立项,进行中
XXX存储器技术,1213183063B,5224499 ,电子科学与工程学院（示范性微电子学院）,,2018-12-19,2018,2020-12-31,类别1,子类2,200,175,175,财务通过，立项完成,直接立项,进行中
xxxx技术研究,2118H23251A,7182802 ,信息与通信工程学院,,2018-12-19,2018,2019-12-31,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
“互联网+”促进制造业创新驱动发展及其政策研究,17ZDA051,5224248 ,经济与管理学院,,2018-12-18,2018,2021-12-31,国家社会科学基金项目,一般项目,6,5.5,5.5,财务通过，立项完成,直接立项,进行中
共享经济中消费者行为模式挖掘及其对平台效率的影响研究,91846105,5221051 ,经济与管理学院,,2018-12-17,2018,2021-12-31,国家自然科学基金,重大研究计划,43,45.67,43,财务通过，立项完成,直接立项,进行中
低密度B4C/Al复合材料制备工艺及动态力学性能研究,2018JY0410,7160739 ,自动化工程学院,"西南科技大学,中国空气动力研究与发展中心",2018-12-17,2018,2021-06-30,四川省科技计划项目,应用基础研究项目,10,3.25,3.25,财务通过，立项完成,直接立项,进行中
国际脑老化精准神经科学研究,2018JZ0073,7080710 ,生命科学与技术学院,,2018-12-15,2018,2021-12-31,四川省科技计划项目,重点研发计划,100,100,100,财务通过，立项完成,直接立项,进行中
飞机大部件自动化柔性装配生产线的研制,2018jxw006,7110672 ,机械与电气工程学院,,2018-12-13,2018,2019-12-31,四川省产学研项目,省部级项目,47.7,47.7,47.7,财务通过，立项完成,直接立项,进行中
xxxxxx感知网,2118H42103A,5230969 ,航空航天学院,,2018-12-13,2018,2020-11-30,类别2,子类1,350,315,315,财务通过，立项完成,直接立项,进行中
多中心、多模态抑郁症脑影像信息模式识别方法与关键技术,U1808204,5224982 ,生命科学与技术学院,中国医科大学,2018-12-13,2018,2022-12-31,国家自然科学基金,联合基金项目,250,178.49,167,财务通过，立项完成,直接立项,进行中
赛尔网络下一代互联网技术创新项目,NGII20180317,5224718 ,光电科学与工程学院,,2018-12-11,2018,2020-12-10,其他科技项目,高新类,10,9,9,财务通过，立项完成,直接立项,进行中
基于IPv6移动端流量的用户行为识别和监控,NGII20180404,5224600 ,信息与软件工程学院（示范性软件学院）,,2018-12-11,2018,2019-12-10,教育部科学技术研究项目,一般项目,10,9,9,财务通过，立项完成,直接立项,进行中
点阵畸变调控单斜相VO2多晶薄膜相变抑制及热敏性能研究,61841501,7100699 ,光电科学与工程学院,,2018-12-11,2018,2019-12-31,国家自然科学基金,面上项目,16,16,16,财务通过，立项完成,直接立项,进行中
反********关键技术研究,B1WJ2018014,7130693 ,信息与通信工程学院,,2018-12-11,2018,2019-12-31,类别B,子类1,288.99,288.99,288.99,财务通过，立项完成,直接立项,进行中
